region_id,city_id,region_name,city_name,net_forest_emissions_01_to_23,region,city,average_net_emissions
21,11,Västra Götaland,Göteborg,-2875117.1088987067,Vaestra goetaland,Goeteborg,-130687.1
21,12,Västra Götaland,Götene,-1261544.7170130606,Vaestra goetaland,Goetene,-57342.9
21,13,Västra Götaland,Grästorp,-604806.6325213066,Vaestra goetaland,Graestorp,-27491.2
21,14,Västra Götaland,Gullspång,-1099225.2498045985,Vaestra goetaland,Gullspaang,-49964.8
21,15,Västra Götaland,Habo,-1033803.9415462458,Vaestra goetaland,Habo,-46991.1
21,16,Västra Götaland,Härryda,-1664850.8728135738,Vaestra goetaland,Haerryda,-75675.0
21,17,Västra Götaland,Herrljunga,-1628598.5307505478,Vaestra goetaland,Herrljunga,-74027.2
21,18,Västra Götaland,Hjo,-889620.6739608088,Vaestra goetaland,Hjo,-40437.3
21,19,Västra Götaland,Karlsborg,-2060609.855272957,Vaestra goetaland,Karlsborg,-93664.1
21,20,Västra Götaland,Kungälv,-2355273.9417725625,Vaestra goetaland,Kungaelv,-107057.9
21,21,Västra Götaland,Lerum,-1884179.139981816,Vaestra goetaland,Lerum,-85644.5
21,22,Västra Götaland,Lidköping,-1565937.4515132285,Vaestra goetaland,Lidkoeping,-71179.0
21,23,Västra Götaland,Lilla Edet,-1742828.0993970376,Vaestra goetaland,Lilla edet,-79219.5
21,24,Västra Götaland,Lysekil,-1173324.4688846706,Vaestra goetaland,Lysekil,-53332.9
21,25,Västra Götaland,Mariestad,-1927233.2418565224,Vaestra goetaland,Mariestad,-87601.5
21,26,Västra Götaland,Mark,-4766246.505664225,Vaestra goetaland,Mark,-216647.6
21,27,Västra Götaland,Mellerud,-1963719.96868138,Vaestra goetaland,Mellerud,-89260.0
21,28,Västra Götaland,Mölndal,-1150566.3536681882,Vaestra goetaland,Moelndal,-52298.5
21,29,Västra Götaland,Mullsjö,-547013.8017170004,Vaestra goetaland,Mullsjoe,-24864.3
21,30,Västra Götaland,Munkedal,-3943911.4871119256,Vaestra goetaland,Munkedal,-179268.7
21,31,Västra Götaland,Öckerö,-51597.33235052155,Vaestra goetaland,Oeckeroe,-2345.3
21,32,Västra Götaland,Orust,-2591651.4567979337,Vaestra goetaland,Orust,-117802.3
21,33,Västra Götaland,Partille,-600920.8090409401,Vaestra goetaland,Partille,-27314.6
21,34,Västra Götaland,Skara,-1475895.0884847112,Vaestra goetaland,Skara,-67086.1
21,35,Västra Götaland,Skövde,-2557345.764326906,Vaestra goetaland,Skoevde,-116243.0
21,36,Västra Götaland,Sotenäs,-652919.8782441248,Vaestra goetaland,Sotenaes,-29678.2
21,37,Västra Götaland,Stenungsund,-1932644.8165477049,Vaestra goetaland,Stenungsund,-87847.5
21,38,Västra Götaland,Strömstad,-2380918.5172504378,Vaestra goetaland,Stroemstad,-108223.6
21,39,Västra Götaland,Svenljunga,-4539154.040194286,Vaestra goetaland,Svenljunga,-206325.2
21,40,Västra Götaland,Tanum,-5611172.626650826,Vaestra goetaland,Tanum,-255053.3
21,41,Västra Götaland,Tibro,-823846.7308757012,Vaestra goetaland,Tibro,-37447.6
21,42,Västra Götaland,Tidaholm,-801727.9048229195,Vaestra goetaland,Tidaholm,-36442.2
21,43,Västra Götaland,Tjörn,-966262.7435588312,Vaestra goetaland,Tjoern,-43921.0
21,44,Västra Götaland,Töreboda,-1866807.7399767728,Vaestra goetaland,Toereboda,-84854.9
21,45,Västra Götaland,Tranemo,-3518476.0923178336,Vaestra goetaland,Tranemo,-159930.7
21,46,Västra Götaland,Trollhättan,-1646251.3011256345,Vaestra goetaland,Trollhaettan,-74829.6
21,47,Västra Götaland,Uddevalla,-3876421.533275996,Vaestra goetaland,Uddevalla,-176201.0
21,48,Västra Götaland,Ulricehamn,-5005118.491456594,Vaestra goetaland,Ulricehamn,-227505.4
21,49,Västra Götaland,Vänersborg,-2897531.265009546,Vaestra goetaland,Vaenersborg,-131706.0
21,50,Västra Götaland,Vara,-808066.9044631582,Vaestra goetaland,Vara,-36730.3
21,51,Västra Götaland,Vårgårda,-1461510.0851336038,Vaestra goetaland,Vaargaarda,-66432.3
